zone_id,total_revenue,avg_revenue,trip_count,avg_distance,avg_fare,revenue_per_trip,stress_score
69,52413.81,32.73816989381636,1601,6.693016864459713,30.239219237976265,32.73816989381636,0.3638380151684803
70,2239263.96,61.486146242346024,36419,9.299733106345588,41.741288338504624,61.486146242346024,0.2798785184449374
71,65593.84,28.007617421007684,2342,4.951908625106746,26.511771989752347,28.007617421007684,0.3845491582766236
72,82919.06,29.816274721323264,2781,5.773714491190219,28.333847536857242,29.816274721323264,0.37740031181726647
73,4437.7699999999995,37.929658119658114,117,8.583589743589743,35.08119658119658,37.929658119658114,0.34039395941154604
74,507376.93,21.24071377736844,23887,3.0792560807133587,17.53888935404195,21.24071377736844,0.43600635688126493
75,1183852.18,20.658433322863225,57306,2.7789932991309807,16.285919624472132,20.658433322863225,0.4740725884150848
76,153123.03,32.40013330512061,4726,6.581216673719848,30.50287558188743,32.40013330512061,0.36859183103884247
77,35463.15,31.83406642728905,1114,6.7819838420107725,30.105107719928185,31.83406642728905,0.3671264194845859
78,27364.6,35.538441558441555,770,8.045935064935065,32.78077922077922,35.538441558441555,0.35115982766456744
79,4324189.65,20.888896859556834,207009,2.465346627441319,15.512383374635887,20.888896859556834,0.6326382236346488
80,173400.6,32.99725975261656,5255,5.3342854424357755,28.69630447193149,32.99725975261656,0.366640938016791
81,20167.97,40.66122983870968,496,10.331290322580644,37.75995967741935,40.66122983870968,0.32929456184601824
82,82219.56,36.88629878869448,2229,5.380031404217138,31.69267384477344,36.88629878869448,0.34703851707635847
83,34696.58,40.77153936545241,851,4.81117508813161,33.58569917743831,40.77153936545241,0.3292083404513602
84,67.2,67.2,1,21.14,65.7,67.2,0.21700603494251205
85,42799.159999999996,30.204064925899786,1417,5.717367678193367,28.32982357092449,30.204064925899786,0.3743136422101504
86,49510.17,54.109475409836065,915,14.81033879781421,51.11978142076502,54.109475409836065,0.27310735347396325
87,1709685.61,29.46463782852219,58025,4.318921844032745,23.10486324859974,29.46463782852219,0.437753813885125
88,977896.54,30.73696495363822,31815,4.640799308502279,24.432275341819896,30.73696495363822,0.40446415305233285
89,103649.12,31.561851400730816,3284,6.045968331303288,29.393218635809987,31.561851400730816,0.3705853165229014
90,3000873.89,20.633780658025923,145435,2.1556359198267265,14.884428095025267,20.633780658025923,0.5680941186974959
91,73291.98,30.937940059096665,2369,6.014512452511608,29.32143520472773,30.937940059096665,0.3722376528147854
92,33797.52,37.09936333699231,911,7.778660812294182,32.94491767288694,37.09936333699231,0.34473667985755657
93,419561.43,61.21409833673767,6854,9.631998832798367,48.24243069740297,61.21409833673767,0.24951721308082173
94,11540.59,34.760813253012046,332,7.550120481927711,32.10897590361446,34.760813253012046,0.3539678338247703
95,82758.87,34.78725094577553,2379,6.682290878520387,31.11605296343001,34.78725094577553,0.3560379547090427
96,2629.94,37.57057142857143,70,6.446714285714285,33.504000000000005,37.57057142857143,0.3418560708871098
97,150908.05,27.740450367647057,5440,4.530681985294118,24.29920588235294,27.740450367647057,0.3889757523561324
98,9494.43,34.905992647058824,272,8.56297794117647,32.12,34.905992647058824,0.35329250812367513
99,37.59,37.59,1,12.31,36.09,37.59,0.34170072036321447
100,3344275.23,22.519007130880958,148509,2.4182719565817563,16.59384293207819,22.519007130880958,0.5634309001559749
